Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Velletri' Bianco,vino 'Bianco',DOC vino 'Velletri',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 20%, Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio': massimo (<=) 70%, Vitigno 'Trebbiano Toscano', Vitigno 'Trebbiano Giallo': minimo (>=) 30%",30%,"20%, 70%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio', Vitigno 'Trebbiano Giallo', Vitigno 'Trebbiano Toscano'",Lazio,"Provincia di Latina, Provincia di Agrigento","Cisterna di Latina, Lariano, Velletri"
Vino 'Velletri' Rosso,vino 'Rosso',DOC vino 'Velletri',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 30%, Vitigno 'Cesanese Comune', Vitigno 'Cesanese D'Affile': minimo (>=) 10%, Vitigno 'Montepulciano': minimo (>=) 30% - massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 10% - massimo (<=) 45%","10%, 30%","30%, 45%, 50%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cesanese Comune', Vitigno 'Cesanese D'Affile', Vitigno 'Montepulciano', Vitigno 'Sangiovese'",Lazio,"Provincia di Latina, Provincia di Agrigento","Cisterna di Latina, Lariano, Velletri"
Vino 'Velletri' Bianco Spumante,vino 'Bianco Spumante',DOC vino 'Velletri',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 20%, Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio': massimo (<=) 70%, Vitigno 'Trebbiano Toscano', Vitigno 'Trebbiano Giallo': minimo (>=) 30%",30%,"20%, 70%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio', Vitigno 'Trebbiano Giallo', Vitigno 'Trebbiano Toscano'",Lazio,"Provincia di Latina, Provincia di Agrigento","Cisterna di Latina, Lariano, Velletri"
Vino 'Velletri' Rosso Riserva,vino 'Rosso Riserva',DOC vino 'Velletri',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 30%, Vitigno 'Cesanese Comune', Vitigno 'Cesanese D'Affile': minimo (>=) 10%, Vitigno 'Montepulciano': minimo (>=) 30% - massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 10% - massimo (<=) 45%","10%, 30%","30%, 45%, 50%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cesanese Comune', Vitigno 'Cesanese D'Affile', Vitigno 'Montepulciano', Vitigno 'Sangiovese'",Lazio,"Provincia di Latina, Provincia di Agrigento","Cisterna di Latina, Lariano, Velletri"
Vino 'Velletri' Bianco Superiore,vino 'Bianco Superiore',DOC vino 'Velletri',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 20%, Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio': massimo (<=) 70%, Vitigno 'Trebbiano Toscano', Vitigno 'Trebbiano Giallo': minimo (>=) 30%",30%,"20%, 70%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Del Lazio', Vitigno 'Trebbiano Giallo', Vitigno 'Trebbiano Toscano'",Lazio,"Provincia di Latina, Provincia di Agrigento","Cisterna di Latina, Lariano, Velletri"
Vino 'Vignanello' Novello,"vino 'Novello ', vino 'Novello'",DOC vino 'Vignanello',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 20%, Vitigno 'Ciliegiolo': massimo (<=) 40%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,"20%, 40%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Ciliegiolo', Vitigno 'Sangiovese'",Lazio,"Provincia di Viterbo, Provincia di Viterbo","Bassano in Teverina, Corchiano, Fabrica di Roma, Vasanello, Vignanello"
Vino 'Vignanello' Bianco Vendemmia Tardiva,"vino 'Bianco Vendemmia Tardiva', vino 'Bianco Vendemmia Tardiva:'",DOC vino 'Vignanello',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca Lunga': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Trebbiano Giallo': minimo (>=) 70%",70%,"15%, 30%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Giallo', Vitigno 'Trebbiano Toscano'",Lazio,"Provincia di Viterbo, Provincia di Viterbo","Bassano in Teverina, Corchiano, Fabrica di Roma, Vasanello, Vignanello"
Vino 'Vignanello' Bianco Superiore,vino 'Bianco Superiore',DOC vino 'Vignanello',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca Lunga': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Trebbiano Giallo': minimo (>=) 70%",70%,"15%, 30%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Giallo', Vitigno 'Trebbiano Toscano'",Lazio,"Provincia di Viterbo, Provincia di Viterbo","Bassano in Teverina, Corchiano, Fabrica di Roma, Vasanello, Vignanello"
"Vino 'Vignanello' Bianco, varietà Greco o Greco di Vignanello'",vino 'Bianco',DOC vino 'Vignanello',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Greco B.': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Greco B.'",Lazio,"Provincia di Viterbo, Provincia di Viterbo","Bassano in Teverina, Corchiano, Fabrica di Roma, Vasanello, Vignanello"
"Vino 'Vignanello' Bianco Spumante, varietà Greco o Greco di Vignanello'",vino 'Bianco Spumante',DOC vino 'Vignanello',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Greco B.': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Greco B.'",Lazio,"Provincia di Viterbo, Provincia di Viterbo","Bassano in Teverina, Corchiano, Fabrica di Roma, Vasanello, Vignanello"
