Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Verdicchio dei Castelli di Jesi' Bianco Classico Superiore,vino 'Bianco Classico Superiore',DOC vino 'Verdicchio dei Castelli di Jesi',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Arcevia, Belvedere Ostrense, Castelbellino, Castelplanio, Corinaldo, Cupramontana, Maiolati Spontini, Mergo, Monte Roberto, Montecarotto, Poggio San Marcello, Rosora, San Paolo di Jesi, Senigallia, Serra San Quirico, Staffolo, Apiro, Cingoli, Poggio San Vicino"
Vino 'Verdicchio dei Castelli di Jesi' Bianco Passito,vino 'Bianco Passito',DOC vino 'Verdicchio dei Castelli di Jesi',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Arcevia, Belvedere Ostrense, Castelbellino, Castelplanio, Corinaldo, Cupramontana, Maiolati Spontini, Mergo, Monte Roberto, Montecarotto, Poggio San Marcello, Rosora, San Paolo di Jesi, Senigallia, Serra San Quirico, Staffolo, Apiro, Cingoli, Poggio San Vicino"
Vino 'Verdicchio dei Castelli di Jesi' Bianco Spumante,vino 'Bianco Spumante',DOC vino 'Verdicchio dei Castelli di Jesi',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Arcevia, Belvedere Ostrense, Castelbellino, Castelplanio, Corinaldo, Cupramontana, Maiolati Spontini, Mergo, Monte Roberto, Montecarotto, Poggio San Marcello, Rosora, San Paolo di Jesi, Senigallia, Serra San Quirico, Staffolo, Apiro, Cingoli, Poggio San Vicino"
Vino 'Verdicchio dei Castelli di Jesi' Bianco,vino 'Bianco',DOC vino 'Verdicchio dei Castelli di Jesi',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Arcevia, Belvedere Ostrense, Castelbellino, Castelplanio, Corinaldo, Cupramontana, Maiolati Spontini, Mergo, Monte Roberto, Montecarotto, Poggio San Marcello, Rosora, San Paolo di Jesi, Senigallia, Serra San Quirico, Staffolo, Apiro, Cingoli, Poggio San Vicino"
Vino 'Verdicchio dei Castelli di Jesi' Bianco Classico,vino 'Bianco Classico',DOC vino 'Verdicchio dei Castelli di Jesi',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Arcevia, Belvedere Ostrense, Castelbellino, Castelplanio, Corinaldo, Cupramontana, Maiolati Spontini, Mergo, Monte Roberto, Montecarotto, Poggio San Marcello, Rosora, San Paolo di Jesi, Senigallia, Serra San Quirico, Staffolo, Apiro, Cingoli, Poggio San Vicino"
Vino 'Verdicchio di Matelica Riserva' Bianco,vino 'Bianco',DOCG vino 'Verdicchio di Matelica Riserva',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (>=) 15%, Vitigno 'Verdicchio Bianco': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio Bianco'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Fabriano, Camerino, Castelraimondo, Esanatoglia, Gagliole, Matelica, Pioraco"
Vino 'Verdicchio di Matelica' Bianco Spumante,vino 'Bianco Spumante',DOC vino 'Verdicchio di Matelica',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Fabriano, Camerino, Castelraimondo, Esanatoglia, Gagliole, Matelica, Pioraco"
Vino 'Verdicchio di Matelica' Bianco Passito,vino 'Bianco Passito',DOC vino 'Verdicchio di Matelica',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Fabriano, Camerino, Castelraimondo, Esanatoglia, Gagliole, Matelica, Pioraco"
Vino 'Verdicchio di Matelica' Bianco,vino 'Bianco',DOC vino 'Verdicchio di Matelica',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Verdicchio': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Verdicchio'",Marche,"Provincia di Macerata, Provincia di Ancona, Provincia di Macerata","Fabriano, Camerino, Castelraimondo, Esanatoglia, Gagliole, Matelica, Pioraco"
Vino 'Vernaccia di Serrapetrona' Rosso Spumante Secco,vino 'Rosso Spumante Secco',DOCG vino 'Vernaccia di Serrapetrona',"Vitigno 'Altre Varietà A Bacca Nera': massimo (>=) 15%, Vitigno 'Vernaccia Nera': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Vernaccia Nera'",Marche,Provincia di Macerata,"Belforte del Chienti, San Severino Marche, Serrapetrona"
