Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Valli Ossolane' Rosso Superiore, varietà Nebbiolo'",vino 'Rosso Superiore',DOC vino 'Valli Ossolane',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Nebbiolo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Nebbiolo'",Piemonte,"Provincia di Verbano Cusio Ossola, Provincia di Verbano-Cusio-Ossola, Provincia del Verbano-Cusio-Ossola","Domodossola, Beura-Cardezza, Bognanco, Crevoladossola, Crodo, Masera, Montecrestese, Montescheno, Ornavasso, Pallanzeno, Piedimulera, Pieve Vergonte, Premosello-Chiovenda, Trontano, Viganella, Villadossola"
Vino 'Valli Ossolane' Rosso,vino 'Rosso',DOC vino 'Valli Ossolane',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 40%, Vitigno 'Nebbiolo', Vitigno 'Croatina', Vitigno 'Merlot': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Croatina', Vitigno 'Merlot', Vitigno 'Nebbiolo'",Piemonte,"Provincia di Verbano Cusio Ossola, Provincia di Verbano-Cusio-Ossola, Provincia del Verbano-Cusio-Ossola","Domodossola, Beura-Cardezza, Bognanco, Crevoladossola, Crodo, Masera, Montecrestese, Montescheno, Ornavasso, Pallanzeno, Piedimulera, Pieve Vergonte, Premosello-Chiovenda, Trontano, Viganella, Villadossola"
"Vino 'Valli Ossolane' Rosso, varietà Nebbiolo'",vino 'Rosso',DOC vino 'Valli Ossolane',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Nebbiolo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Nebbiolo'",Piemonte,"Provincia di Verbano Cusio Ossola, Provincia di Verbano-Cusio-Ossola, Provincia del Verbano-Cusio-Ossola","Domodossola, Beura-Cardezza, Bognanco, Crevoladossola, Crodo, Masera, Montecrestese, Montescheno, Ornavasso, Pallanzeno, Piedimulera, Pieve Vergonte, Premosello-Chiovenda, Trontano, Viganella, Villadossola"
Vino 'Valli Ossolane' Bianco,vino 'Bianco',DOC vino 'Valli Ossolane',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 40%, Vitigno 'Chardonnay': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay'",Piemonte,"Provincia di Verbano Cusio Ossola, Provincia di Verbano-Cusio-Ossola, Provincia del Verbano-Cusio-Ossola","Domodossola, Beura-Cardezza, Bognanco, Crevoladossola, Crodo, Masera, Montecrestese, Montescheno, Ornavasso, Pallanzeno, Piedimulera, Pieve Vergonte, Premosello-Chiovenda, Trontano, Viganella, Villadossola"
Vino 'Valsusa' Novello,"vino 'Novello ', vino 'Novello'",DOC vino 'Valsusa',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 40%, Vitigno 'Avanà', Vitigno 'Barbera', Vitigno 'Dolcetto', Vitigno 'Neretta Cuneese': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Avanà', Vitigno 'Barbera', Vitigno 'Dolcetto', Vitigno 'Neretta Cuneese'",Piemonte,"Provincia di Turin, Provincia di Agrigento","Almese, Borgone Susa, Bussoleno, Caprie, Chianocco, Chiomonte, Condove, Exilles, Gravere, Mattie, Piedmont, Meana di Susa, Mompantero, Rubiana, San Didero, San Giorio di Susa"
Vino 'Valsusa' Rosso,vino 'Rosso',DOC vino 'Valsusa',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 40%, Vitigno 'Avanà', Vitigno 'Barbera', Vitigno 'Dolcetto', Vitigno 'Neretta Cuneese': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Avanà', Vitigno 'Barbera', Vitigno 'Dolcetto', Vitigno 'Neretta Cuneese'",Piemonte,"Provincia di Turin, Provincia di Agrigento","Almese, Borgone Susa, Bussoleno, Caprie, Chianocco, Chiomonte, Condove, Exilles, Gravere, Mattie, Piedmont, Meana di Susa, Mompantero, Rubiana, San Didero, San Giorio di Susa"
Vino 'Verduno Pelaverga o Verduno' Rosso,vino 'Rosso',DOC vino 'Verduno Pelaverga o Verduno',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Pelaverga Piccolo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Pelaverga Piccolo'",Piemonte,Provincia di Cuneo,"La Morra, Roddi, Verduno"
Vino 'Albugnano' Rosso,vino 'Rosso',DOC vino 'Albugnano',"Vitigno 'Freisa', Vitigno 'Barbera', Vitigno 'Bonarda': massimo (<=) 15%, Vitigno 'Nebbiolo': minimo (>=) 85%",85%,15%,"Vitigno 'Barbera', Vitigno 'Bonarda', Vitigno 'Freisa', Vitigno 'Nebbiolo'",Piemonte,"Provincia di Asti, Provincia di Asti","Albugnano, Castelnuovo Don Bosco"
Vino 'Vittoria' Rosso,vino 'Rosso',DOC vino 'Vittoria',"Vitigno 'Calabrese': massimo (<=) 70%, Vitigno 'Calabrese': minimo (>=) 50%, Vitigno 'Frappato': massimo (<=) 50%, Vitigno 'Frappato': minimo (>=) 30%","30%, 50%","50%, 70%","Vitigno 'Calabrese', Vitigno 'Frappato'",Piemonte,Provincia di Alessandria,Castellazzo Bormida
"Vino 'Vittoria' Bianco, varietà Ansonica o Inzolia o Insolia:'",vino 'Bianco',DOC vino 'Vittoria',"Vitigno 'Altre Varietà A Bacca Bianca': minimo (>=) 15%, Vitigno 'Ansonica': minimo (>=) 85%","15%, 85%",,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Ansonica'",Piemonte,Provincia di Alessandria,Castellazzo Bormida
