Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Valdinievole' Bianco Superiore,vino 'Bianco Superiore',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Bianco,vino 'Bianco',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Vin Santo (Vin Santo),vino 'Vin Santo (Vin Santo)',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Rosso Superiore,vino 'Rosso Superiore',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Canaiolo Nero': minimo (>=) 20%, Vitigno 'Sangiovese', Vitigno 'Canaiolo': minimo (>=) 70%, Vitigno 'Sangiovese': minimo (>=) 35%","20%, 35%, 70%",30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Canaiolo Nero', Vitigno 'Canaiolo', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Rosso,vino 'Rosso',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 10%, Vitigno 'Canaiolo Nero': minimo (>=) 20%, Vitigno 'Sangiovese', Vitigno 'Canaiolo': minimo (>=) 70%, Vitigno 'Sangiovese': minimo (>=) 35%","20%, 35%, 70%","10%, 30%","Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Canaiolo Nero', Vitigno 'Canaiolo', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
"Vino 'Valdinievole' Rosso, varietà Sangiovese'",vino 'Rosso',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Sangiovese': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Vernaccia di San Gimignano' Bianco Riserva,vino 'Bianco Riserva',DOCG vino 'Vernaccia di San Gimignano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (>=) 15%, Vitigno 'Incrocio Bruni 54': 0%, Vitigno 'Malvasia Bianca Di Candia': 0%, Vitigno 'Malvasia Istriana': 0%, Vitigno 'Moscato Bianco': 0%, Vitigno 'Muller Thurgau': 0%, Vitigno 'Sauvignon', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano': massimo (>=) 10%, Vitigno 'Traminer Aromatico': 0%, Vitigno 'Vernaccia Di S. Gimignano': minimo (>=) 85%",85%,"10%, 15%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Incrocio Bruni 54', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Istriana', Vitigno 'Moscato Bianco', Vitigno 'Muller Thurgau', Vitigno 'MüLler Thurgau', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Traminer Aromatico', Vitigno 'Vernaccia Di S. Gimignano'",Toscana,Provincia di Siena,San Gimignano
Vino 'Vernaccia di San Gimignano' Bianco,vino 'Bianco',DOCG vino 'Vernaccia di San Gimignano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (>=) 15%, Vitigno 'Incrocio Bruni 54': 0%, Vitigno 'Malvasia Bianca Di Candia': 0%, Vitigno 'Malvasia Istriana': 0%, Vitigno 'Moscato Bianco': 0%, Vitigno 'Muller Thurgau': 0%, Vitigno 'Sauvignon', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano': massimo (>=) 10%, Vitigno 'Traminer Aromatico': 0%, Vitigno 'Vernaccia Di S. Gimignano': minimo (>=) 85%",85%,"10%, 15%","Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Incrocio Bruni 54', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Malvasia Istriana', Vitigno 'Moscato Bianco', Vitigno 'Muller Thurgau', Vitigno 'MüLler Thurgau', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Traminer Aromatico', Vitigno 'Vernaccia Di S. Gimignano'",Toscana,Provincia di Siena,San Gimignano
Vino 'Vin Santo del Chianti Classico' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti Classico',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 40%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Siena, Provincia di Siena, Provincia di Agrigento","Castellina in Chianti, Castelnuovo Berardenga, Gaiole in Chianti, Poggibonsi, Radda in Chianti, Greve in Chianti, San Casciano in Val di Pesa"
Vino 'Vin Santo del Chianti Classico' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti Classico',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 20%, Vitigno 'Sangiovese': minimo (>=) 80%",80%,20%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Siena, Provincia di Siena, Provincia di Agrigento","Castellina in Chianti, Castelnuovo Berardenga, Gaiole in Chianti, Poggibonsi, Radda in Chianti, Greve in Chianti, San Casciano in Val di Pesa"
Vino 'Vin Santo del Chianti sottozona Colli Fiorentini' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Colli Fiorentini',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Agrigento,"Bagno a Ripoli, Certaldo, Fiesole, Florence, Impruneta, Lastra a Signa, Montelupo Fiorentino, Montespertoli, Pelago, Pontassieve, Reggello, Rignano sull'Arno, San Casciano in Val di Pesa, Scandicci"
Vino 'Vin Santo del Chianti sottozona Colli Fiorentini' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti sottozona Colli Fiorentini',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Agrigento,"Bagno a Ripoli, Certaldo, Fiesole, Florence, Impruneta, Lastra a Signa, Montelupo Fiorentino, Montespertoli, Pelago, Pontassieve, Reggello, Rignano sull'Arno, San Casciano in Val di Pesa, Scandicci"
Vino 'Vin Santo del Chianti sottozona Colli Senesi' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Colli Senesi',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Siena,"Castelnuovo Berardenga, Colle di Val d'Elsa, Montalcino, Montepulciano, Monteriggioni, Murlo, Pienza, San Gimignano, Siena"
