Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Bettona' Bianco, varietà due vitigni a bacca bianca ammessi e classificati per la Regione'",vino 'Bianco',IGT vino 'Bettona',Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Bianco,vino 'Bianco',IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Novello,"vino 'Novello ', vino 'Novello'",IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Rosato,vino 'Rosato',IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
"Vino 'Bettona' Bianco, varietà vitigno a bacca bianca ammesso e classificato per la Regione'",vino 'Bianco',IGT vino 'Bettona',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione'",Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Rosso,vino 'Rosso',IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Rosato Novello,vino 'Rosato Novello',IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
"Vino 'Bettona' Rosso, varietà vitigno a bacca nera ammesso e classificato per la Regione'",vino 'Rosso',IGT vino 'Bettona',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione'",Umbria,Provincia di Perugia,Bettona
"Vino 'Bettona' Rosso, varietà due vitigni a bacca nera ammessi e classificati per la Regione'",vino 'Rosso',IGT vino 'Bettona',Vitigno 'Due Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Due Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
Vino 'Bettona' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Bettona',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Umbria,Provincia di Perugia,Bettona
