Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Benevento o Beneventano' Bianco Frizzante, varietà vitigno a bacca bianca tra: Chardonnay, Coda di Volpe, Falanghina, Fiano, Greco, Malvasia , Moscato'",vino 'Bianco Frizzante',IGT vino 'Benevento o Beneventano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Coda Di Volpe', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Moscato': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Coda Di Volpe', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Moscato'",Campania,Provincia di Benevento,
"Vino 'Benevento o Beneventano' Novello, varietà vitigno a bacca nera tra: Aglianico, Barbera, Cabernet Sauvignon, Merlot, Piedirosso, Sangiovese, Sciascinoso'","vino 'Novello ', vino 'Novello'",IGT vino 'Benevento o Beneventano',"Vitigno 'Aglianico', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%",85%,15%,"Vitigno 'Aglianico', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso'",Campania,Provincia di Benevento,
Vino 'Benevento o Beneventano' Rosso Passito,vino 'Rosso Passito',IGT vino 'Benevento o Beneventano',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Campania,Provincia di Benevento,
Vino 'Benevento o Beneventano' Rosso,vino 'Rosso',IGT vino 'Benevento o Beneventano',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Campania,Provincia di Benevento,
Vino 'Benevento o Beneventano' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Benevento o Beneventano',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Campania,Provincia di Benevento,
"Vino 'Benevento o Beneventano' Rosso Frizzante, varietà vitigno a bacca nera tra: Aglianico, Barbera, Cabernet Sauvignon, Merlot, Piedirosso, Sangiovese, Sciascinoso'",vino 'Rosso Frizzante',IGT vino 'Benevento o Beneventano',"Vitigno 'Aglianico', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%",85%,15%,"Vitigno 'Aglianico', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso'",Campania,Provincia di Benevento,
Vino 'Benevento o Beneventano' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Benevento o Beneventano',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Campania,Provincia di Benevento,
Vino 'Benevento o Beneventano' Rosso Frizzante,vino 'Rosso Frizzante',IGT vino 'Benevento o Beneventano',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Campania,Provincia di Benevento,
"Vino 'Benevento o Beneventano' Rosso Passito, varietà vitigno a bacca nera tra: Aglianico, Barbera, Cabernet Sauvignon, Merlot, Piedirosso, Sangiovese, Sciascinoso'",vino 'Rosso Passito',IGT vino 'Benevento o Beneventano',"Vitigno 'Aglianico', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%",85%,15%,"Vitigno 'Aglianico', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Barbera', Vitigno 'Cabernet Sauvignon', Vitigno 'Merlot', Vitigno 'Piedirosso', Vitigno 'Sangiovese', Vitigno 'Sciascinoso'",Campania,Provincia di Benevento,
"Vino 'Benevento o Beneventano' Bianco, varietà vitigno a bacca bianca tra: Chardonnay, Coda di Volpe, Falanghina, Fiano, Greco, Malvasia , Moscato'",vino 'Bianco',IGT vino 'Benevento o Beneventano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Chardonnay', Vitigno 'Coda Di Volpe', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Moscato': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Coda Di Volpe', Vitigno 'Falanghina', Vitigno 'Fiano', Vitigno 'Greco', Vitigno 'Malvasia Bianca Di Candia', Vitigno 'Moscato'",Campania,Provincia di Benevento,
