Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Venezia Giulia' Novello, varietà un vitigno a bacca nera tra: Cabernet Franc, Cabernet Sauvignon, Cabernet, Merlot, Pinot nero, Refosco dal peduncolo rosso, Terrano, Schioppettino'","vino 'Novello ', vino 'Novello'",IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano', Vitigno 'Schioppettino': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Schioppettino', Vitigno 'Terrano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Rosato,vino 'Rosato',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Bianco, varietà un vitigno a bacca bianca tra: Pinot bianco, Pinot grigio, Glera, Riesling renano, Sauvignon, Verduzzo friulano, Chardonnay, Incrocio Manzoni 6.0.13'",vino 'Bianco',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Glera', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Verduzzo Friulano', Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Glera', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Rosso, varietà un vitigno a bacca nera tra: Cabernet Franc, Cabernet Sauvignon, Cabernet, Merlot, Pinot nero, Refosco dal peduncolo rosso, Terrano, Schioppettino'",vino 'Rosso',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano', Vitigno 'Schioppettino': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Schioppettino', Vitigno 'Terrano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Rosso Frizzante, varietà un vitigno a bacca nera tra: Cabernet Franc, Cabernet Sauvignon, Cabernet, Merlot, Pinot nero, Refosco nostrano, Refosco dal peduncolo rosso, Schioppettino, Franconia'",vino 'Rosso Frizzante',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Nostrano', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Schioppettino', Vitigno 'Franconia': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Franconia', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Refosco Nostrano', Vitigno 'Schioppettino'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Rosso Frizzante,vino 'Rosso Frizzante',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Novello, varietà un vitigno a bacca nera tra: Cabernet Franc, Cabernet Sauvignon, Cabernet, Merlot, Pinot nero, Refosco nostrano, Refosco dal peduncolo rosso, Schioppettino, Franconia'","vino 'Novello ', vino 'Novello'",IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Nostrano', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Schioppettino', Vitigno 'Franconia': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Franconia', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Refosco Nostrano', Vitigno 'Schioppettino'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Novello,"vino 'Novello ', vino 'Novello'",IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Rosso, varietà un vitigno a bacca nera tra: Cabernet Franc, Cabernet Sauvignon, Cabernet, Merlot, Pinot nero, Refosco nostrano, Refosco dal peduncolo rosso, Forgiarin'",vino 'Rosso',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Nostrano', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Forgiarin': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Cabernet', Vitigno 'Forgiarin', Vitigno 'Merlot', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Refosco Nostrano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Bianco,vino 'Bianco',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
