Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Valli di Porto Pino' Rosso, varietà vitigno a bacca nera ammesso e classificato per la Regione'",vino 'Rosso',IGT vino 'Valli di Porto Pino',"Vitigno 'A Bacca Nera Ammesso E Classificato Per La Regione': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cannonau': 0%, Vitigno 'Carignano': 0%, Vitigno 'Girò': 0%",85%,15%,"Vitigno 'A Bacca Nera Ammesso E Classificato Per La Regione', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cannonau', Vitigno 'Carignano', Vitigno 'Girò'",Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
"Vino 'Valli di Porto Pino' Bianco, varietà vitigno a bacca bianca ammesso e classificato per la Regione'",vino 'Bianco',IGT vino 'Valli di Porto Pino',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia': 0%, Vitigno 'Monica': 0%, Vitigno 'Moscato': 0%, Vitigno 'Nasco': 0%, Vitigno 'Nuragus': 0%, Vitigno 'Semidano': 0%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione': minimo (>=) 85%, Vitigno 'Vermentino': 0%, Vitigno 'Vernaccia': 0%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia', Vitigno 'Monica', Vitigno 'Moscato', Vitigno 'Nasco', Vitigno 'Nuragus', Vitigno 'Semidano', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione', Vitigno 'Vermentino', Vitigno 'Vernaccia'",Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Rosato,vino 'Rosato',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
"Vino 'Valli di Porto Pino' Rosso Frizzante, varietà vitigno a bacca nera ammesso e classificato per la Regione'",vino 'Rosso Frizzante',IGT vino 'Valli di Porto Pino',"Vitigno 'A Bacca Nera Ammesso E Classificato Per La Regione': minimo (>=) 85%, Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Cannonau': 0%, Vitigno 'Carignano': 0%, Vitigno 'Girò': 0%",85%,15%,"Vitigno 'A Bacca Nera Ammesso E Classificato Per La Regione', Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Cannonau', Vitigno 'Carignano', Vitigno 'Girò'",Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Bianco,vino 'Bianco',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Rosso Frizzante,vino 'Rosso Frizzante',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
"Vino 'Valli di Porto Pino' Bianco Frizzante, varietà vitigno a bacca bianca ammesso e classificato per la Regione'",vino 'Bianco Frizzante',IGT vino 'Valli di Porto Pino',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia': 0%, Vitigno 'Monica': 0%, Vitigno 'Moscato': 0%, Vitigno 'Nasco': 0%, Vitigno 'Nuragus': 0%, Vitigno 'Semidano': 0%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione': minimo (>=) 85%, Vitigno 'Vermentino': 0%, Vitigno 'Vernaccia': 0%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia', Vitigno 'Monica', Vitigno 'Moscato', Vitigno 'Nasco', Vitigno 'Nuragus', Vitigno 'Semidano', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione', Vitigno 'Vermentino', Vitigno 'Vernaccia'",Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Rosso,vino 'Rosso',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
Vino 'Valli di Porto Pino' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Valli di Porto Pino',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Sardegna,"Provincia di Cagliari, Provincia del Sud Sardegna","Giba, Sardinia, Masainas, Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Teulada, Sardinia, Tratalias, Villaperuccio"
