Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Bianco, varietà vitigno a bacca bianca ammesso e classificato per la Provincia di Bolzano'",vino 'Bianco',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Riesling Italico': 0%, Vitigno 'Riesling Renano': 0%, Vitigno 'Traminer Aromatico': 0%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Bolzano': minimo (>=) 85%, Vitigno 'Veltliner': 0%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Traminer Aromatico', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Bolzano', Vitigno 'Veltliner'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Rosso, varietà vitigno a bacca nera ammesso e classificato per la Provincia di Trento'",vino 'Rosso',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Lagrein': 0%, Vitigno 'Marzemino': 0%, Vitigno 'Negrara': 0%, Vitigno 'Pavana': 0%, Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Provincia Di Trento': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Lagrein', Vitigno 'Marzemino', Vitigno 'Negrara', Vitigno 'Pavana', Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Provincia Di Trento'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Rosso Passito,vino 'Rosso Passito',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Moscato Rosa': 0%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento': 100%",,,"Vitigno 'Moscato Rosa', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Bianco Frizzante, varietà vitigno a bacca bianca ammesso e classificato per la Provincia di Trento'",vino 'Bianco Frizzante',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Riesling Italico': 0%, Vitigno 'Riesling Renano': 0%, Vitigno 'Traminer Aromatico': 0%, Vitigno 'Trebbiano Toscano': 0%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Trento': minimo (>=) 85%, Vitigno 'Veltliner': 0%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Traminer Aromatico', Vitigno 'Trebbiano Toscano', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Trento', Vitigno 'Veltliner'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Rosso Frizzante, varietà due vitigni a bacca nera ammessi e classificati per la Provincia di Trento'",vino 'Rosso Frizzante',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Nera': 0%, Vitigno 'Due Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento': minimo (>=) 85%, Vitigno 'Lagrein': 0%, Vitigno 'Marzemino': 0%, Vitigno 'Negrara': 0%, Vitigno 'Pavana': 0%",85%,,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Due Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento', Vitigno 'Lagrein', Vitigno 'Marzemino', Vitigno 'Negrara', Vitigno 'Pavana'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Moscato Rosa': 0%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento': 100%",,,"Vitigno 'Moscato Rosa', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Bianco, varietà due vitigni a bacca bianca ammessi e classificati per la Provincia di Belluno'",vino 'Bianco',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Bianchetta Trevigiana': 0%, Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia Di Belluno': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Bianchetta Trevigiana', Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia Di Belluno'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Bianco Frizzante, varietà vitigno a bacca bianca ammesso e classificato per la Provincia di Bolzano'",vino 'Bianco Frizzante',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Riesling Italico': 0%, Vitigno 'Riesling Renano': 0%, Vitigno 'Traminer Aromatico': 0%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Bolzano': minimo (>=) 85%, Vitigno 'Veltliner': 0%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Traminer Aromatico', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Provincia Di Bolzano', Vitigno 'Veltliner'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Rosato,vino 'Rosato',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Moscato Rosa': 0%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano': 100%, Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento': 100%",,,"Vitigno 'Moscato Rosa', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Belluno', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Bolzano', Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Provincia Di Trento'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
"Vino 'Vigneti delle Dolomiti o Weinberg Dolomiten' Bianco Frizzante, varietà due vitigni a bacca bianca ammessi e classificati per la Provincia di Belluno'",vino 'Bianco Frizzante',IGT vino 'Vigneti delle Dolomiti o Weinberg Dolomiten',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Bianchetta Trevigiana': 0%, Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia Di Belluno': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Bianchetta Trevigiana', Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Provincia Di Belluno'",Trentino-Alto Adige,Provincia di Agrigento,"South Tyrol, Trentino"
