Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Valle d'Aosta o Vallée d'Aoste' Rosso O Rouge,vino 'Rosso O Rouge',DOC vino 'Valle d'Aosta o Vallée d'Aoste',Vitigno 'Varietà A Bacca Rossa': 100%,,,Vitigno 'Varietà A Bacca Rossa',Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Rosso, varietà Syrah'",vino 'Rosso',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Syrah': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Syrah'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Rosso, varietà Gamay'",vino 'Rosso',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Gamay': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Gamay'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Bianco Vendemmia Tardiva, varietà Müller Thurgau'","vino 'Bianco Vendemmia Tardiva', vino 'Bianco Vendemmia Tardiva:'",DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Muller Thurgau': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Muller Thurgau', Vitigno 'MüLler Thurgau'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
Vino 'Valle d'Aosta o Vallée d'Aoste' Passito O Fletrì,vino 'Passito O Fletrì',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Varietà A Bacca Bianca': 100%, Vitigno 'Varietà A Bacca Rosata': 100%",,,"Vitigno 'Varietà A Bacca Bianca', Vitigno 'Varietà A Bacca Rosata'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Rosso, varietà Nebbiolo'",vino 'Rosso',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Nebbiolo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Nebbiolo'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
Vino 'Valle d'Aosta o Vallée d'Aoste' Novello O Nouveau,vino 'Novello O Nouveau',DOC vino 'Valle d'Aosta o Vallée d'Aoste',Vitigno 'Varietà A Bacca Rossa': 100%,,,Vitigno 'Varietà A Bacca Rossa',Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Bianco, varietà Moscato bianco o Muscat petit grain'",vino 'Bianco',DOC vino 'Valle d'Aosta o Vallée d'Aoste',Vitigno 'Moscato Bianco O Muscat Petit Grain': minimo (>=) 85% - massimo (<=) 15%,85%,15%,Vitigno 'Moscato Bianco O Muscat Petit Grain',Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Bianco, varietà Pinot bianco'",vino 'Bianco',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Pinot Bianco O Pinot Blanc': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Pinot Bianco O Pinot Blanc'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
"Vino 'Valle d'Aosta o Vallée d'Aoste' Bianco Passito, varietà Traminer aromatico o Gewüztraminer flétri'",vino 'Bianco Passito',DOC vino 'Valle d'Aosta o Vallée d'Aoste',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Traminer Aromatico O GewüRztraminer': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Traminer Aromatico O GewüRztraminer'",Valle d'Aosta,Provincia di Agrigento,Aosta Valley
