Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Valdinievole' Bianco Superiore,vino 'Bianco Superiore',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Bianco,vino 'Bianco',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Vin Santo (Vin Santo),vino 'Vin Santo (Vin Santo)',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 30%, Vitigno 'Trebbiano Toscano': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Rosso Superiore,vino 'Rosso Superiore',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Canaiolo Nero': minimo (>=) 20%, Vitigno 'Sangiovese', Vitigno 'Canaiolo': minimo (>=) 70%, Vitigno 'Sangiovese': minimo (>=) 35%","20%, 35%, 70%",30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Canaiolo Nero', Vitigno 'Canaiolo', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
Vino 'Valdinievole' Rosso,vino 'Rosso',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 10%, Vitigno 'Canaiolo Nero': minimo (>=) 20%, Vitigno 'Sangiovese', Vitigno 'Canaiolo': minimo (>=) 70%, Vitigno 'Sangiovese': minimo (>=) 35%","20%, 35%, 70%","10%, 30%","Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Canaiolo Nero', Vitigno 'Canaiolo', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
"Vino 'Valdinievole' Rosso, varietà Sangiovese'",vino 'Rosso',DOC vino 'Valdinievole',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Sangiovese': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Pistoia, Provincia di Pistoia","Buggiano, Chiesina Uzzanese, Lamporecchio, Larciano, Marliana, Massa e Cozzile, Monsummano Terme, Montecatini Terme, Pescia, Pieve a Nievole, Ponte Buggianese, Uzzano"
"Vino 'Valle Belice' Rosso Frizzante, varietà vitigno a bacca nera ammesso e classificato per la Regione'",vino 'Rosso Frizzante',IGT vino 'Valle Belice',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione'",Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Bianco,vino 'Bianco',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Rosso,vino 'Rosso',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Rosso Frizzante,vino 'Rosso Frizzante',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
"Vino 'Valle Belice' Novello, varietà vitigno a bacca nera ammesso e classificato per la Regione'","vino 'Novello ', vino 'Novello'",IGT vino 'Valle Belice',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Un Vitigno A Bacca Nera Ammesso E Classificato Per La Regione'",Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
"Vino 'Valle Belice' Bianco, varietà vitigno a bacca bianca ammesso e classificato per la Regione'",vino 'Bianco',IGT vino 'Valle Belice',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione'",Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Rosato,vino 'Rosato',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
"Vino 'Valle Belice' Bianco, varietà due vitigni a bacca bianca ammessi e classificati per la Regione'",vino 'Bianco',IGT vino 'Valle Belice',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Due Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione'",Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
Vino 'Valle Belice' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Valle Belice',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per La Regione',Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
"Vino 'Valle Belice' Bianco Frizzante, varietà vitigno a bacca bianca ammesso e classificato per la Regione'",vino 'Bianco Frizzante',IGT vino 'Valle Belice',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Un Vitigno A Bacca Bianca Ammesso E Classificato Per La Regione'",Sicilia,"Provincia di Agrigento, Provincia di Palermo, Provincia di Agrigento, Provincia di Agrigento","Menfi, Montevago, Santa Margherita di Belice, Contessa Entellina"
